,producer,polarity
0,Tom Anderson,0.054548206937095806
14,Michael Radutzky,0.03848516218081435
15,Richard Bonin,0.12524771524771525
26,Shari Finkelstein,0.10806103565645551
27,Robert G Anderson,0.1840939933688025
28,Richard Bonin,0.06147827481160812
39,Richard Bonin,0.0947893029265578
40,Robert G Anderson,0.06291170634920634
48,Shari Finkelstein,0.044987345106392726
50,Shari Finkelstein,0.252950104265653
84,Tom Anderson,0.05947915111708216
91,Michael Radutzky,-0.04415520452754496
92,Steve Glauber,0.1670230437801194
96,Shari Finkelstein,0.10073502886002886
98,Michael Radutzky,0.09138880046968283
101,Tom Anderson,0.08349540453233636
115,Shari Finkelstein,0.13115570731950044
118,Mary Walsh,0.10753016069342594
124,Michael Radutzky,0.114403428696907
129,Richard Bonin,0.03835356364768127
134,Tom Anderson,0.06228231625005818
140,Mary Walsh,0.08037525897352485
156,Shari Finkelstein,0.12479066171923317
164,Richard Bonin,0.059091687688810006
168,Robert G Anderson,0.10918536939813533
169,Richard Bonin,0.1252865433177933
176,Robert G Anderson,0.0744773235712833
179,Robert G Anderson,0.12713822528637345
180,Robert G Anderson,0.14305948051948045
182,Robert G Anderson,0.07738404452690167
185,Robert G Anderson,0.05713031413031412
186,Richard Bonin,0.0831582287176693
191,Richard Bonin,0.08794653398549508
215,Richard Bonin,0.043657419677827845
217,Tom Anderson,0.07685643379608895
235,Michael Radutzky,0.02670172709235208
243,Richard Bonin,0.028830171635049678
247,Michael Radutzky,0.038129966438789985
252,Robert G Anderson,0.08887138988225947
258,Shari Finkelstein,0.06060812203669347
273,Shari Finkelstein,0.15742534139885137
298,Michael Radutzky,0.010687466772993088
299,Michael Radutzky,-0.011309307359307358
303,Richard Bonin,0.07398151535475476
308,Shari Finkelstein,0.11867843140047082
309,Michael Radutzky,0.0896270228652779
318,Michael Radutzky,0.023624812687312684
329,Michael Radutzky,0.09528805080129583
342,Tom Anderson,0.07323210555246489
355,Michael Radutzky,0.11924810552056055
356,Michael Radutzky,-0.011749357413419918
359,Tom Anderson,0.08246487056714334
371,Michael Radutzky,0.12511368358226987
372,Michael Radutzky,0.17713568071856842
394,Robert G Anderson,0.07465110992508249
396,Tom Anderson,0.0818232342119777
409,Robert G Anderson,0.08898727066584208
415,Robert G Anderson,0.061383355575084855
426,Tom Anderson,0.05885090909090909
427,Richard Bonin,0.05468171592187341
428,Richard Bonin,0.08135488482710705
435,Mary Walsh,-0.00853343465045592
451,Shari Finkelstein,0.11610534418633016
460,Mary Walsh,0.11597125592661303
474,Robert G Anderson,0.017106569900687547
477,Michael Radutzky,0.018657206990540312
503,Mary Walsh,0.1404041425031991
507,Tom Anderson,0.038713784672118015
510,Tom Anderson,0.03853608780599932
521,Robert G Anderson,0.05969083915402935
529,Tom Anderson,0.10263742334054833
